point_id,gpstime,easting  ,northing  ,lat  ,long 
284,13:59:44,2387714.755,220595.221,45.6427994,-121.9404673
285,13:59:45,2387714.727,220595.253,45.6427997,-121.9404677
286,13:59:46,2387714.714,220595.262,45.6427998,-121.9404679
287,13:59:47,2387714.704,220595.269,45.6427998,-121.9404680
288,13:59:48,2387714.670,220595.294,45.6428000,-121.9404684
289,13:59:49,2387714.643,220595.319,45.6428003,-121.9404688
290,13:59:50,2387714.630,220595.327,45.6428003,-121.9404689
291,13:59:51,2387714.634,220595.333,45.6428004,-121.9404689
292,13:59:52,2387714.631,220595.337,45.6428004,-121.9404689
293,13:59:53,2387714.651,220595.313,45.6428002,-121.9404687
294,13:59:54,2387714.661,220595.308,45.6428002,-121.9404685
295,13:59:55,2387714.651,220595.319,45.6428003,-121.9404687
296,13:59:56,2387714.664,220595.307,45.6428002,-121.9404685
297,13:59:57,2387714.678,220595.290,45.6428000,-121.9404683
298,13:59:58,2387714.681,220595.292,45.6428000,-121.9404683
299,13:59:59,2387714.690,220595.277,45.6427999,-121.9404682
300,14:00:00,2387714.712,220595.267,45.6427998,-121.9404679
301,14:00:01,2387714.731,220595.266,45.6427998,-121.9404676
302,14:00:02,2387714.745,220595.232,45.6427995,-121.9404675
303,14:00:03,2387714.791,220595.203,45.6427992,-121.9404669
304,14:00:04,2387714.801,220595.194,45.6427992,-121.9404667
305,14:00:05,2387714.804,220595.166,45.6427989,-121.9404667
306,14:00:06,2387714.829,220595.129,45.6427986,-121.9404664
307,14:00:07,2387714.859,220595.109,45.6427984,-121.9404660
308,14:00:08,2387714.843,220595.093,45.6427983,-121.9404662
309,14:00:09,2387714.877,220595.064,45.6427980,-121.9404657
310,14:00:10,2387714.913,220595.034,45.6427977,-121.9404652
311,14:00:11,2387714.896,220595.035,45.6427977,-121.9404655
312,14:00:12,2387714.899,220595.024,45.6427977,-121.9404654
313,14:00:13,2387714.918,220595.011,45.6427975,-121.9404652
314,14:00:14,2387714.901,220595.025,45.6427977,-121.9404654
315,14:00:15,2387714.890,220595.015,45.6427976,-121.9404655
316,14:00:16,2387714.917,220595.007,45.6427975,-121.9404652
317,14:00:17,2387714.911,220595.035,45.6427978,-121.9404653
318,14:00:18,2387714.895,220595.042,45.6427978,-121.9404655
319,14:00:19,2387714.911,220595.017,45.6427976,-121.9404653
320,14:00:20,2387714.919,220595.033,45.6427977,-121.9404652
321,14:00:21,2387714.889,220595.047,45.6427979,-121.9404656
322,14:00:22,2387714.906,220595.030,45.6427977,-121.9404653
323,14:00:23,2387714.916,220595.024,45.6427977,-121.9404652
324,14:00:24,2387714.890,220595.050,45.6427979,-121.9404656
325,14:00:25,2387714.900,220595.039,45.6427978,-121.9404654
326,14:00:26,2387714.918,220595.029,45.6427977,-121.9404652
327,14:00:27,2387714.899,220595.054,45.6427979,-121.9404654
328,14:00:28,2387714.893,220595.049,45.6427979,-121.9404655
329,14:00:29,2387714.913,220595.035,45.6427977,-121.9404652
330,14:00:30,2387714.897,220595.052,45.6427979,-121.9404655
331,14:00:31,2387714.878,220595.053,45.6427979,-121.9404657
332,14:00:32,2387714.899,220595.068,45.6427981,-121.9404654
333,14:00:33,2387714.886,220595.084,45.6427982,-121.9404656
334,14:00:34,2387714.868,220595.093,45.6427983,-121.9404658
335,14:00:35,2387714.874,220595.092,45.6427983,-121.9404658
336,14:00:36,2387714.860,220595.126,45.6427986,-121.9404660
337,14:00:37,2387714.841,220595.143,45.6427987,-121.9404662
338,14:00:38,2387714.840,220595.146,45.6427987,-121.9404662
339,14:00:39,2387714.822,220595.182,45.6427991,-121.9404665
340,14:00:40,2387714.787,220595.208,45.6427993,-121.9404669
341,14:00:41,2387714.792,220595.202,45.6427992,-121.9404668
342,14:00:42,2387714.780,220595.226,45.6427994,-121.9404670
343,14:00:43,2387714.740,220595.258,45.6427997,-121.9404675
344,14:00:44,2387714.717,220595.257,45.6427997,-121.9404678
345,14:00:45,2387714.694,220595.285,45.6428000,-121.9404681
346,14:00:46,2387714.647,220595.335,45.6428004,-121.9404687
347,14:00:47,2387714.622,220595.347,45.6428005,-121.9404691
348,14:00:48,2387714.626,220595.346,45.6428005,-121.9404690
349,14:00:49,2387714.630,220595.361,45.6428006,-121.9404690
350,14:00:50,2387714.634,220595.343,45.6428005,-121.9404689
351,14:00:51,2387714.663,220595.326,45.6428003,-121.9404685
352,14:00:52,2387714.661,220595.340,45.6428005,-121.9404686
353,14:00:53,2387714.648,220595.329,45.6428004,-121.9404687
354,14:00:54,2387714.667,220595.309,45.6428002,-121.9404685
355,14:00:55,2387714.666,220595.330,45.6428004,-121.9404685
356,14:00:56,2387714.643,220595.332,45.6428004,-121.9404688
357,14:00:57,2387714.655,220595.326,45.6428003,-121.9404686
358,14:00:58,2387714.656,220595.344,45.6428005,-121.9404686
359,14:00:59,2387714.627,220595.363,45.6428007,-121.9404690
360,14:01:00,2387714.648,220595.333,45.6428004,-121.9404687
361,14:01:01,2387714.668,220595.336,45.6428004,-121.9404685
362,14:01:02,2387714.662,220595.331,45.6428004,-121.9404685
363,14:01:03,2387714.670,220595.307,45.6428002,-121.9404684
364,14:01:04,2387714.688,220595.294,45.6428000,-121.9404682
365,14:01:05,2387714.685,220595.298,45.6428001,-121.9404682
366,14:01:06,2387714.682,220595.284,45.6428000,-121.9404683
367,14:01:07,2387714.696,220595.285,45.6428000,-121.9404681
368,14:01:08,2387714.690,220595.298,45.6428001,-121.9404682
369,14:01:09,2387714.673,220595.289,45.6428000,-121.9404684
370,14:01:10,2387714.679,220595.283,45.6427999,-121.9404683
371,14:01:11,2387714.672,220595.311,45.6428002,-121.9404684
372,14:01:12,2387714.648,220595.322,45.6428003,-121.9404687
373,14:01:13,2387714.641,220595.325,45.6428003,-121.9404688
374,14:01:14,2387714.634,220595.356,45.6428006,-121.9404689
375,14:01:15,2387714.598,220595.361,45.6428006,-121.9404694
376,14:01:16,2387714.580,220595.358,45.6428006,-121.9404696
377,14:01:17,2387714.572,220595.385,45.6428008,-121.9404697
378,14:01:18,2387714.565,220595.381,45.6428008,-121.9404698
379,14:01:19,2387714.563,220595.365,45.6428007,-121.9404698
380,14:01:20,2387714.579,220595.377,45.6428008,-121.9404696
381,14:01:21,2387714.588,220595.375,45.6428008,-121.9404695
382,14:01:22,2387714.578,220595.361,45.6428006,-121.9404696
383,14:01:23,2387714.582,220595.380,45.6428008,-121.9404696
384,14:01:24,2387714.586,220595.381,45.6428008,-121.9404695
385,14:01:25,2387714.568,220595.374,45.6428007,-121.9404698
386,14:01:26,2387714.559,220595.388,45.6428009,-121.9404699
387,14:01:27,2387714.565,220595.389,45.6428009,-121.9404698
388,14:01:28,2387714.559,220595.381,45.6428008,-121.9404699
389,14:01:29,2387714.566,220595.385,45.6428008,-121.9404698
390,14:01:30,2387714.584,220595.381,45.6428008,-121.9404695
391,14:01:31,2387714.591,220595.369,45.6428007,-121.9404695
392,14:01:32,2387714.581,220595.377,45.6428008,-121.9404696
393,14:01:33,2387714.579,220595.384,45.6428008,-121.9404696
394,14:01:34,2387714.573,220595.373,45.6428007,-121.9404697
395,14:01:35,2387714.567,220595.379,45.6428008,-121.9404698
396,14:01:36,2387714.573,220595.374,45.6428007,-121.9404697
397,14:01:37,2387714.565,220595.371,45.6428007,-121.9404698
398,14:01:38,2387714.573,220595.367,45.6428007,-121.9404697
399,14:01:39,2387714.581,220595.369,45.6428007,-121.9404696
400,14:01:40,2387714.579,220595.372,45.6428007,-121.9404696
401,14:01:41,2387714.576,220595.368,45.6428007,-121.9404696
402,14:01:42,2387714.571,220595.368,45.6428007,-121.9404697
403,14:01:43,2387714.571,220595.378,45.6428008,-121.9404697
404,14:01:44,2387714.565,220595.378,45.6428008,-121.9404698
405,14:01:45,2387714.556,220595.378,45.6428008,-121.9404699
406,14:01:46,2387714.557,220595.382,45.6428008,-121.9404699
407,14:01:47,2387714.558,220595.387,45.6428009,-121.9404699
408,14:01:48,2387714.556,220595.383,45.6428008,-121.9404699
409,14:01:49,2387714.559,220595.386,45.6428009,-121.9404699
410,14:01:50,2387714.560,220595.387,45.6428009,-121.9404699
411,14:01:51,2387714.561,220595.391,45.6428009,-121.9404699
412,14:01:52,2387714.564,220595.392,45.6428009,-121.9404698
413,14:01:53,2387714.563,220595.393,45.6428009,-121.9404698
414,14:01:54,2387714.564,220595.388,45.6428009,-121.9404698
415,14:01:55,2387714.562,220595.389,45.6428009,-121.9404698
416,14:01:56,2387714.563,220595.389,45.6428009,-121.9404698
417,14:01:57,2387714.559,220595.388,45.6428009,-121.9404699
418,14:01:58,2387714.557,220595.387,45.6428009,-121.9404699
419,14:01:59,2387714.555,220595.384,45.6428008,-121.9404699
420,14:02:00,2387714.556,220595.385,45.6428008,-121.9404699
421,14:02:01,2387714.555,220595.386,45.6428009,-121.9404699
422,14:02:02,2387714.553,220595.376,45.6428008,-121.9404700
423,14:02:03,2387714.557,220595.383,45.6428008,-121.9404699
424,14:02:04,2387714.556,220595.377,45.6428008,-121.9404699
425,14:02:05,2387714.556,220595.377,45.6428008,-121.9404699
426,14:02:06,2387714.557,220595.382,45.6428008,-121.9404699
427,14:02:07,2387714.556,220595.380,45.6428008,-121.9404699
428,14:02:08,2387714.558,220595.381,45.6428008,-121.9404699
429,14:02:09,2387714.554,220595.383,45.6428008,-121.9404699
430,14:02:10,2387714.556,220595.382,45.6428008,-121.9404699
431,14:02:11,2387714.557,220595.379,45.6428008,-121.9404699
432,14:02:12,2387714.559,220595.378,45.6428008,-121.9404699
433,14:02:13,2387714.558,220595.382,45.6428008,-121.9404699
434,14:02:14,2387714.559,220595.376,45.6428008,-121.9404699
